cement_co2,co2,coal_co2,gas_co2,oil_co2,share_global_co2
0.062,0.743,0.546,0.136,0.0,0.014
0.065,0.802,0.598,0.139,0.0,0.015
0.062,0.908,0.706,0.14,0.0,0.018
0.16,3.784,1.883,0.0,1.74,0.064
0.222,4.131,2.041,0.0,1.869,0.065
0.24,3.889,1.843,0.0,1.806,0.06
0.255,3.999,1.548,0.0,2.197,0.06
0.327,4.152,1.484,0.0,2.341,0.061
0.334,4.607,1.594,0.0,2.678,0.062
0.323,4.995,1.761,0.0,2.911,0.063
0.353,5.537,1.975,0.0,3.21,0.068
0.418,5.214,1.81,0.0,2.986,0.062
0.472,5.657,1.462,0.0,3.723,0.064
0.523,6.151,1.257,0.0,4.371,0.066
0.53,6.056,0.765,0.45,4.31,0.064
0.432,5.661,0.406,0.688,4.134,0.058
0.436,5.419,0.253,0.605,4.126,0.053
0.389,5.643,0.282,1.191,3.781,0.052
0.367,6.589,0.264,1.778,4.179,0.058
0.327,8.421,0.271,1.85,5.972,0.071
0.36,8.432,0.19,1.791,6.091,0.069
0.429,9.05,0.202,1.884,6.536,0.07
0.469,11.263,0.451,2.476,7.868,0.082
0.458,15.059,0.971,0.136,6.837,0.101
0.476,18.65,0.901,0.674,7.617,0.12
0.458,28.323,0.649,3.136,7.258,0.175
0.498,38.277,0.821,3.147,9.376,0.224
0.465,31.877,0.7,2.451,9.607,0.187
0.469,32.001,0.791,4.459,11.291,0.188
0.688,39.131,0.586,6.063,11.035,0.218
0.874,41.845,0.605,3.605,13.868,0.226
1.321,62.455,0.572,23.856,13.165,0.328
